v_low,omega_rabi,t_gate
0.06,0.32659863237109044,9.61912372621398
0.06217527148248704,0.32083455847579095,9.791939710344035
0.06442940639868275,0.3151722135670132,9.96786048501644
0.06676526390489312,0.30960980225023454,10.146941830513098
0.06918580681477705,0.30414556081749117,10.329240529257538
0.07169410535739439,0.29877775668814827,10.514814383819262
0.07429334107150042,0.2935046878595393,10.703722235241589
0.07698681084102567,0.28832468236730285,10.896023981698702
0.07977793107686079,0.2832360977552413,11.091780597487977
0.08267024205024934,0.278237320554538,11.291054152363438
0.0856674123832861,0.27332676577216464,11.493907831216617
0.08877324370221643,0.2685028763883172,11.700405954110987
0.09199167545943816,0.2637641228627231,11.910613996676284
0.09532678993032342,0.2591090026496596,12.124598610869302
0.09878281739119785,0.2545360397215325,12.342427646107632
0.10236414148504445,0.25004378410086364,12.56417017078307
0.1060753047817392,0.2456308114005369,12.789896494161587
0.10992101453986984,0.2412957223721592,13.019678188676714
0.11390614867744686,0.23703714246239255,13.253588112623433
0.11803576195907982,0.23285372137711555,13.491700433259828
0.12231509240746674,0.22874413265327748,13.734090650323747
0.12674956794732883,0.22470707323830863,13.980835619971959
0.13134481329021847,0.2207412630769531,14.232013579149429
0.13610665706893174,0.2168454447053942,14.487704170396361
0.14104113923057654,0.21301838285254243,14.747988467100962
0.14615451869767251,0.2092588640483604,15.012948999205888
0.15145328130700023,0.20556569623910065,15.282669779376501
0.1569441480362703,0.20193770840933364,15.5572363296393
0.16263408352904568,0.19837375021064685,15.836735708498905
0.16853030492873142,0.19487269159689669,16.121256538542223
0.17464029103283665,0.19143342246589753,16.4108890345386
0.1809717917791194,0.18805485230743543,16.7057250320447
0.18753283807564772,0.18473590985749258,17.005858016523447
0.19433175198724467,0.18147554275857564,17.31138315298598
0.20137715729123792,0.17827271722603796,17.622397316166232
0.20867799041590349,0.1751264177202913,17.938999121237593
0.21624351177547715,0.1720356466248022,18.261288955081437
0.22408331751611119,0.16899942392977182,18.58936900811739
0.2322073516876759,0.16601678692139815,18.9233433067055
0.2406259188568432,0.1630867898766223,19.26331774613049
0.24934969717745206,0.16020850376326246,19.60940012417864
0.2583897519347335,0.15738101594543977,19.961700175317894
0.26775754958057557,0.1546034298942034,20.32032960549203
0.27746497227762945,0.15187486490326246,20.685402127539984
0.28752433297070584,0.14919445580973523,21.05703349725143
0.2979483910045772,0.14656135271982643,21.435341550070223
0.3087503683079964,0.14397472073934633,21.820446238457183
0.3199439661644589,0.14143373970898562,22.21246966992417
0.3315433825909814,0.13893760394426247,22.611536145751472
0.3435633303469388,0.13648552198005928,23.017772200400742
0.35601905559580493,0.13407671631966786,23.4313066416361
0.3689263572434637,0.1317104231882638,23.852270591365986
0.38230160697762244,0.12938589229073175,24.280797527218766
0.39616177003374553,0.1271023865737646,24.71702332486536
0.41052442671384537,0.12485918199216162,25.161086301102113
0.4254077946854282,0.12265556727925084,25.613127257707806
0.4408307520888767,0.12049084372136355,26.073289526088487
0.4568128614825807,0.11836432493628857,26.541719012724517
0.47337439465618664,0.11627533665563711,27.018564245433957
0.49053635834343945,0.11422321651104815,27.503976420467243
0.5083205208672315,0.11220731382416738,27.998109450447892
0.5267494397506555,0.11022698940033243,28.501120013174546
0.5458464903290825,0.10828161532589971,29.013167601299724
0.5656358953995574,0.10637057476914773,29.5344145729012
0.5861427559451186,0.10449326178469472,30.065026202961796
0.6073930829730148,0.10264908112136759,30.60517073577422
0.6294138305071995,0.10083744803346209,31.155019438287262
0.6522329297769532,0.09905778809533387,31.71474665441049
0.6758793246449996,0.09730953701926182,32.28452986029452
0.7003830083200474,0.09559214047652585,32.864549720604494
0.7257750614003318,0.09390505392164256,33.454990145804516
0.7520876912964055,0.09224774241970271,34.0560383504713
0.7793542730831821,0.0906196804767563,34.6678849126554
0.8076093918330527,0.08902035187319082,35.29072383430904
0.8368888864837718,0.08744924950005041,35.92475260279944
0.8672298952967461,0.08590587519824368,36.57017225352734
0.8986709029634,0.08438973960058928,37.22718743367062
0.9312517894193527,0.08290036197664938,37.89600646707295
0.9650138804283347,0.08143727008030138,38.576841420298344
1.0,0.08,39.269908169872416
