point_label,noise_kind,v_low,g0_over_omega_rabi0,oscillator_ratio,t_gate,F_X_from_g,mean_six_state_fidelity,min_six_state_fidelity,max_high_population,gamma_phi,gamma_decay,passes_leakage,passes_state_transfer,passes_six_state_proxy
fast_r002_ratio3,none,0.24,0.02,3.0,19.23824745242796,0.9993771804269185,0.9993775437875713,0.9993771804269185,0.0007827262895779223,0.0,0.0,1,1,1
fast_r002_ratio3,white,0.24,0.02,3.0,19.23824745242796,0.9982389506851082,0.9967608905982775,0.9955461071619899,0.0007869750804648163,0.0002,0.0,1,0,0
fast_r002_ratio3,1/f,0.24,0.02,3.0,19.23824745242796,0.9946503504496665,0.9885759225426186,0.983597883895318,0.000801526144554839,0.0008333333333333334,0.0,1,0,0
fast_r003_ratio45,none,0.24,0.03,4.5,19.23824745242796,0.9998236015911196,0.999823663361287,0.9998233361122597,0.0003902542498215966,0.0,0.0,1,1,1
fast_r003_ratio45,white,0.24,0.03,4.5,19.23824745242796,0.998684374531702,0.9972140867249029,0.995990546467808,0.0003992717579834552,0.0002,0.0,1,0,0
fast_r003_ratio45,1/f,0.24,0.03,4.5,19.23824745242796,0.9950918281877534,0.9890510211353504,0.9840385344866952,0.0004278987057312146,0.0008333333333333334,0.0,1,0,0
fast_r004_ratio55,none,0.24,0.04,5.5,19.23824745242796,0.9999978768844824,0.9999978075507855,0.9999977636621166,0.0005945233270919177,0.0,0.0,1,1,1
fast_r004_ratio55,white,0.24,0.04,5.5,19.23824745242796,0.9988497692619936,0.9973799748337139,0.9961642271718745,0.0006031908732437686,0.0002,0.0,1,0,0
fast_r004_ratio55,1/f,0.24,0.04,5.5,19.23824745242796,0.9952290347404938,0.9891905066132627,0.9842088665163167,0.0006309926325156315,0.0008333333333333334,0.0,1,0,0
fast_r005_ratio7,none,0.24,0.05,7.0,19.23824745242796,0.9999912366286622,0.9999912405893792,0.9999912325163787,0.0004443848482028134,0.0,0.0,1,1,1
fast_r005_ratio7,white,0.24,0.05,7.0,19.23824745242796,0.9988474325654416,0.9973770353318859,0.9961577777850339,0.0004542336696396221,0.0002,0.0,1,0,0
fast_r005_ratio7,1/f,0.24,0.05,7.0,19.23824745242796,0.9952403208138383,0.9891991852200963,0.9842031259582648,0.00048582100884143984,0.0008333333333333334,0.0,1,0,0
near_fail_v018,none,0.18,0.02,7.0,16.660811018093874,0.9996464996893413,0.9996464021225004,0.9996462149940842,0.0013121710709740086,0.0,0.0,0,1,1
near_fail_v018,white,0.18,0.02,7.0,16.660811018093874,0.9986172540131109,0.9973508417736046,0.9963255543051613,0.0013352327268506652,0.0002,0.0,0,0,0
near_fail_v018,1/f,0.18,0.02,7.0,16.660811018093874,0.9939500232424554,0.9870357636386099,0.981456263824303,0.0014424202850465016,0.0011111111111111111,0.0,0,0,0
